Divisiones de actividad;Total Nacional;Comunidades y Ciudades Autónomas;Valor absoluto/porcentaje;periodo;Total
Total divisiones de actividad;Total Nacional;;valor absoluto;2022;602,148,412
Total divisiones de actividad;Total Nacional;;valor absoluto;2021;485,187,205
Total divisiones de actividad;Total Nacional;;porcentaje;2022;100.0
Total divisiones de actividad;Total Nacional;;porcentaje;2021;100.0
Total divisiones de actividad;Total Nacional;01 Andalucía;valor absoluto;2022;75,611,295
Total divisiones de actividad;Total Nacional;01 Andalucía;valor absoluto;2021;57,396,293
Total divisiones de actividad;Total Nacional;01 Andalucía;porcentaje;2022;12.6
Total divisiones de actividad;Total Nacional;01 Andalucía;porcentaje;2021;11.8
Total divisiones de actividad;Total Nacional;02 Aragón;valor absoluto;2022;31,839,906
Total divisiones de actividad;Total Nacional;02 Aragón;valor absoluto;2021;25,590,158
Total divisiones de actividad;Total Nacional;02 Aragón;porcentaje;2022;5.3
Total divisiones de actividad;Total Nacional;02 Aragón;porcentaje;2021;5.3
Total divisiones de actividad;Total Nacional;03 Asturias, Principado de;valor absoluto;2022;15,659,117
Total divisiones de actividad;Total Nacional;03 Asturias, Principado de;valor absoluto;2021;11,828,105
Total divisiones de actividad;Total Nacional;03 Asturias, Principado de;porcentaje;2022;2.6
Total divisiones de actividad;Total Nacional;03 Asturias, Principado de;porcentaje;2021;2.4
Total divisiones de actividad;Total Nacional;04 Balears, Illes;valor absoluto;2022;3,095,209
Total divisiones de actividad;Total Nacional;04 Balears, Illes;valor absoluto;2021;2,249,335
Total divisiones de actividad;Total Nacional;04 Balears, Illes;porcentaje;2022;0.5
Total divisiones de actividad;Total Nacional;04 Balears, Illes;porcentaje;2021;0.5
Total divisiones de actividad;Total Nacional;05 Canarias;valor absoluto;2022;5,377,548
Total divisiones de actividad;Total Nacional;05 Canarias;valor absoluto;2021;4,120,722
Total divisiones de actividad;Total Nacional;05 Canarias;porcentaje;2022;0.9
Total divisiones de actividad;Total Nacional;05 Canarias;porcentaje;2021;0.8
Total divisiones de actividad;Total Nacional;06 Cantabria;valor absoluto;2022;8,304,713
Total divisiones de actividad;Total Nacional;06 Cantabria;valor absoluto;2021;6,862,266
Total divisiones de actividad;Total Nacional;06 Cantabria;porcentaje;2022;1.4
Total divisiones de actividad;Total Nacional;06 Cantabria;porcentaje;2021;1.4
Total divisiones de actividad;Total Nacional;07 Castilla y León;valor absoluto;2022;40,453,491
Total divisiones de actividad;Total Nacional;07 Castilla y León;valor absoluto;2021;34,199,450
Total divisiones de actividad;Total Nacional;07 Castilla y León;porcentaje;2022;6.7
Total divisiones de actividad;Total Nacional;07 Castilla y León;porcentaje;2021;7.0
Total divisiones de actividad;Total Nacional;08 Castilla - La Mancha;valor absoluto;2022;35,074,433
Total divisiones de actividad;Total Nacional;08 Castilla - La Mancha;valor absoluto;2021;26,063,484
Total divisiones de actividad;Total Nacional;08 Castilla - La Mancha;porcentaje;2022;5.8
Total divisiones de actividad;Total Nacional;08 Castilla - La Mancha;porcentaje;2021;5.4
Total divisiones de actividad;Total Nacional;09 Cataluña;valor absoluto;2022;124,759,324
Total divisiones de actividad;Total Nacional;09 Cataluña;valor absoluto;2021;106,559,643
Total divisiones de actividad;Total Nacional;09 Cataluña;porcentaje;2022;20.7
Total divisiones de actividad;Total Nacional;09 Cataluña;porcentaje;2021;22.0
Total divisiones de actividad;Total Nacional;10 Comunitat Valenciana;valor absoluto;2022;65,060,278
Total divisiones de actividad;Total Nacional;10 Comunitat Valenciana;valor absoluto;2021;50,913,847
Total divisiones de actividad;Total Nacional;10 Comunitat Valenciana;porcentaje;2022;10.8
Total divisiones de actividad;Total Nacional;10 Comunitat Valenciana;porcentaje;2021;10.5
Total divisiones de actividad;Total Nacional;11 Extremadura;valor absoluto;2022;9,312,135
Total divisiones de actividad;Total Nacional;11 Extremadura;valor absoluto;2021;8,103,668
Total divisiones de actividad;Total Nacional;11 Extremadura;porcentaje;2022;1.5
Total divisiones de actividad;Total Nacional;11 Extremadura;porcentaje;2021;1.7
Total divisiones de actividad;Total Nacional;12 Galicia;valor absoluto;2022;43,603,517
Total divisiones de actividad;Total Nacional;12 Galicia;valor absoluto;2021;36,405,221
Total divisiones de actividad;Total Nacional;12 Galicia;porcentaje;2022;7.2
Total divisiones de actividad;Total Nacional;12 Galicia;porcentaje;2021;7.5
Total divisiones de actividad;Total Nacional;13 Madrid, Comunidad de;valor absoluto;2022;33,607,291
Total divisiones de actividad;Total Nacional;13 Madrid, Comunidad de;valor absoluto;2021;29,423,864
Total divisiones de actividad;Total Nacional;13 Madrid, Comunidad de;porcentaje;2022;5.6
Total divisiones de actividad;Total Nacional;13 Madrid, Comunidad de;porcentaje;2021;6.1
Total divisiones de actividad;Total Nacional;14 Murcia, Región de;valor absoluto;2022;26,372,099
Total divisiones de actividad;Total Nacional;14 Murcia, Región de;valor absoluto;2021;19,806,901
Total divisiones de actividad;Total Nacional;14 Murcia, Región de;porcentaje;2022;4.4
Total divisiones de actividad;Total Nacional;14 Murcia, Región de;porcentaje;2021;4.1
Total divisiones de actividad;Total Nacional;15 Navarra, Comunidad Foral de;valor absoluto;2022;21,949,677
Total divisiones de actividad;Total Nacional;15 Navarra, Comunidad Foral de;valor absoluto;2021;17,461,611
Total divisiones de actividad;Total Nacional;15 Navarra, Comunidad Foral de;porcentaje;2022;3.6
Total divisiones de actividad;Total Nacional;15 Navarra, Comunidad Foral de;porcentaje;2021;3.6
Total divisiones de actividad;Total Nacional;16 País Vasco;valor absoluto;2022;56,656,764
Total divisiones de actividad;Total Nacional;16 País Vasco;valor absoluto;2021;43,403,594
Total divisiones de actividad;Total Nacional;16 País Vasco;porcentaje;2022;9.4
Total divisiones de actividad;Total Nacional;16 País Vasco;porcentaje;2021;8.9
Total divisiones de actividad;Total Nacional;17 Rioja, La;valor absoluto;2022;5,382,340
Total divisiones de actividad;Total Nacional;17 Rioja, La;valor absoluto;2021;4,777,548
Total divisiones de actividad;Total Nacional;17 Rioja, La;porcentaje;2022;0.9
Total divisiones de actividad;Total Nacional;17 Rioja, La;porcentaje;2021;1.0
Total divisiones de actividad;Total Nacional;18 Ceuta;valor absoluto;2022;22,282
Total divisiones de actividad;Total Nacional;18 Ceuta;valor absoluto;2021;18,026
Total divisiones de actividad;Total Nacional;18 Ceuta;porcentaje;2022;0.0
Total divisiones de actividad;Total Nacional;18 Ceuta;porcentaje;2021;0.0
Total divisiones de actividad;Total Nacional;19 Melilla;valor absoluto;2022;6,991
Total divisiones de actividad;Total Nacional;19 Melilla;valor absoluto;2021;3,470
Total divisiones de actividad;Total Nacional;19 Melilla;porcentaje;2022;0.0
Total divisiones de actividad;Total Nacional;19 Melilla;porcentaje;2021;0.0